1	20953.9	144.754	393300000000000	3.53009E17	20953.5
1.30435	12303	110.919	9.58053E24	9.23705E24	12302.7
1.6087	7481.23	86.4941	1.01284E25	9.98622E24	7481.01
1.91304	4858.96	69.7062	2.06727E25	7.80101E24	4853.66
2.21739	3357.98	57.948	8.29375E24	2.6651E24	3387.36
2.52174	2481.98	49.8195	7.01143E24	1.27623E24	2442.86
2.82609	1785.05	42.2498	6.07325E24	6.04179E23	1806.59
3.13043	1387.99	37.2557	5.48747E24	6.42655E23	1367.44
3.43478	1047.99	32.3727	5.11516E24	6.40108E23	1060.97
3.73913	829.994	28.8096	4.69532E24	5.18657E23	843.017
4.04348	686.996	26.2106	4.04192E24	4.27791E23	686.549
4.34783	592.015	24.3314	3.22983E24	4.29876E23	570.666
4.65217	456.997	21.3775	2.49847E24	3.93435E23	481.245
4.95652	425.997	20.6397	1.91723E24	3.28048E23	409.457
5.26087	337.998	18.3847	1.49536E24	3.34973E23	349.725
5.56522	317.998	17.8325	1.1968E24	3.55235E23	298.593
5.86957	234.007	15.2973	1.01986E24	3.48792E23	253.859
6.17391	230.998	15.1986	9.27928E23	3.04882E23	214.044
6.47826	161.999	12.7279	9.05289E23	2.59762E23	178.243
6.78261	146.999	12.1243	9.23036E23	2.64648E23	145.443
7.08696	113.003	10.6303	9.81837E23	2.96114E23	115.477
7.3913	98.9991	9.94983	1.09339E24	3.28055E23	88.2353
7.69565	69.9995	8.36657	1.32318E24	3.61931E23	64.5344
8	37.9997	6.16439	1.73753E24	3.67196E23	44.3839
8.30435	30.9998	5.56775	2.36306E24	3.32085E23	28.359
8.6087	18.0005	4.2427	3.08285E24	3.95063E23	16.6537
8.91304	4.99996	2.23606	3.61257E24	4.92336E23	8.99236
9.21739	2.99998	1.73204	3.60353E24	4.37724E23	4.49947
9.52174	2.99998	1.73204	2.87203E24	3.73076E23	2.1428
9.82609	1.00014	1.00007	1.82925E24	3.51447E23	1.01497
10.1304	0.999829	0.999914	9.80112E23	2.52811E23	0.508262
10.4348	5.71331E-5	0.00755864	4.87188E23	1.49383E23	0.290884
10.7391	0	0	2.41187E23	1.0499E23	0.198112
11.0435	0	0	1.12188E23	7.53743E22	0.157398
11.3478	0	0	4.52418E22	4.78845E22	0.134822
11.6522	0	0	1.31715E22	2.38053E22	0.118383
11.9565	0	0	2.82693E21	8.3142E21	0.103531
12.2609	0	0.00755864	4.41807E20	1.98905E21	0.0875686
12.5652	0	0.999914	5.34645E19	3.53464E20	0.0724896
12.8696	0	0.0106895	5.73568E18	4.69458E19	0.055229
13.1739	0	0	4.25893E18	1.07413E19	0.0400152
13.4783	0	0	3.89907E19	6.87189E19	0.025089
13.7826	0	0	3.56634E20	4.82999E20	0.0137656
14.087	0	0	2.59892E21	2.85053E21	0.00545469
14.3913	0	0	1.27562E22	1.23363E22	0.00126494
14.6957	0	0	4.27919E22	4.25246E22	3.09674E-5
