1	2.0671E25
1.30435	1.72839E25
1.6087	1.44506E25
1.91304	1.20817E25
2.21739	1.0101E25
2.52174	8.44504E24
2.82609	7.06047E24
3.13043	5.90287E24
3.43478	4.93503E24
3.73913	4.12585E24
4.04348	3.44933E24
4.34783	2.88205E24
4.65217	2.40831E24
4.95652	2.01381E24
5.26087	1.68394E24
5.56522	1.40817E24
5.86957	1.17802E24
6.17391	9.87827E23
6.47826	8.38121E23
6.78261	7.44185E23
7.08696	7.49924E23
7.3913	9.35171E23
7.69565	1.38799E24
8	2.12201E24
8.30435	2.98105E24
8.6087	3.64263E24
8.91304	3.78714E24
9.21739	3.32334E24
9.52174	2.45805E24
9.82609	1.5383E24
10.1304	8.25001E23
10.4348	3.91955E23
10.7391	1.78369E23
11.0435	8.92811E22
11.3478	5.51941E22
11.6522	4.09767E22
11.9565	3.31304E22
12.2609	2.7496E22
12.5652	2.29581E22
12.8696	1.91906E22
13.1739	1.6044E22
13.4783	1.34135E22
13.7826	1.12142E22
14.087	9.37551E21
14.3913	7.8382E21
14.6957	6.55293E21
